icd_root,infection_group1_label,infection_group2_label,antibiotics_indicated
K61,Abdominal infections,"Abscess of anal and rectal regions, intestine, and liver",usually
K630,Abdominal infections,"Abscess of anal and rectal regions, intestine, and liver",usually
K750,Abdominal infections,"Abscess of anal and rectal regions, intestine, and liver",usually
K35,Abdominal infections,Acute appendicitis,usually
K800,Abdominal infections,Cholecystitis and cholangitis,usually
K801,Abdominal infections,Cholecystitis and cholangitis,usually
K803,Abdominal infections,Cholecystitis and cholangitis,usually
K804,Abdominal infections,Cholecystitis and cholangitis,usually
K810,Abdominal infections,Cholecystitis and cholangitis,usually
K819,Abdominal infections,Cholecystitis and cholangitis,usually
K830,Abdominal infections,Cholecystitis and cholangitis,usually
K57,Abdominal infections,Diverticulitis of intestine,usually
K65,Abdominal infections,Peritonitis,usually
J85,Miscellaneous bacterial infections,"Abscess of lung and mediastinum, pyothorax",usually
J86,Miscellaneous bacterial infections,"Abscess of lung and mediastinum, pyothorax",usually
J051,Miscellaneous bacterial infections,Acute epiglottitis,usually
G00,Miscellaneous bacterial infections,"Bacterial meningitis, encephalitis, and intercranial abscess",usually
G042,Miscellaneous bacterial infections,"Bacterial meningitis, encephalitis, and intercranial abscess",usually
G049,Miscellaneous bacterial infections,"Bacterial meningitis, encephalitis, and intercranial abscess",usually
G06,Miscellaneous bacterial infections,"Bacterial meningitis, encephalitis, and intercranial abscess",usually
J13,Miscellaneous bacterial infections,Bacterial pneumonia,usually
J14,Miscellaneous bacterial infections,Bacterial pneumonia,usually
J15,Miscellaneous bacterial infections,Bacterial pneumonia,usually
J16,Miscellaneous bacterial infections,Bacterial pneumonia,usually
J17,Miscellaneous bacterial infections,Bacterial pneumonia,usually
J18,Miscellaneous bacterial infections,Bacterial pneumonia,usually
A20,Miscellaneous bacterial infections,Certain zoonotic bacterial diseases,usually
A21,Miscellaneous bacterial infections,Certain zoonotic bacterial diseases,usually
A22,Miscellaneous bacterial infections,Certain zoonotic bacterial diseases,usually
A23,Miscellaneous bacterial infections,Certain zoonotic bacterial diseases,usually
A24,Miscellaneous bacterial infections,Certain zoonotic bacterial diseases,usually
A25,Miscellaneous bacterial infections,Certain zoonotic bacterial diseases,usually
A26,Miscellaneous bacterial infections,Certain zoonotic bacterial diseases,usually
A27,Miscellaneous bacterial infections,Certain zoonotic bacterial diseases,usually
A28,Miscellaneous bacterial infections,Certain zoonotic bacterial diseases,usually
J36,Miscellaneous bacterial infections,Deep neck space infections,usually
J390,Miscellaneous bacterial infections,Deep neck space infections,usually
J391,Miscellaneous bacterial infections,Deep neck space infections,usually
T857,Miscellaneous bacterial infections,"Infection due to internal prothetic devices, implants and grafts",usually
T827,Miscellaneous bacterial infections,Infections due to cardiac and vacular devices,usually
O23,Miscellaneous bacterial infections,Infections of genitourinary tract in pregnancy,usually
K102,Miscellaneous bacterial infections,Infections of the jaws and mouth,usually
K122,Miscellaneous bacterial infections,Infections of the jaws and mouth,usually
A50,Miscellaneous bacterial infections,Infections with a predominantly sexual mode of transmission,usually
A51,Miscellaneous bacterial infections,Infections with a predominantly sexual mode of transmission,usually
A52,Miscellaneous bacterial infections,Infections with a predominantly sexual mode of transmission,usually
A53,Miscellaneous bacterial infections,Infections with a predominantly sexual mode of transmission,usually
A54,Miscellaneous bacterial infections,Infections with a predominantly sexual mode of transmission,usually
A55,Miscellaneous bacterial infections,Infections with a predominantly sexual mode of transmission,usually
A56,Miscellaneous bacterial infections,Infections with a predominantly sexual mode of transmission,usually
A57,Miscellaneous bacterial infections,Infections with a predominantly sexual mode of transmission,usually
A58,Miscellaneous bacterial infections,Infections with a predominantly sexual mode of transmission,usually
A59,Miscellaneous bacterial infections,Infections with a predominantly sexual mode of transmission,usually
A60,Miscellaneous bacterial infections,Infections with a predominantly sexual mode of transmission,usually
A61,Miscellaneous bacterial infections,Infections with a predominantly sexual mode of transmission,usually
A62,Miscellaneous bacterial infections,Infections with a predominantly sexual mode of transmission,usually
A63,Miscellaneous bacterial infections,Infections with a predominantly sexual mode of transmission,usually
