position,variable_name,must_exist,must_be_nonmissing,must_be_unique
1,patient_id,TRUE,TRUE,FALSE
2,prescription_id,TRUE,TRUE,TRUE
3,combination_id,FALSE,FALSE,FALSE
4,therapy_id,FALSE,FALSE,FALSE
5,therapy_rank,FALSE,FALSE,FALSE
6,prescription_text,TRUE,FALSE,FALSE
7,drug_id,TRUE,TRUE,FALSE
8,drug_name,TRUE,TRUE,FALSE
9,drug_display_name,TRUE,FALSE,FALSE
10,ATC_code,TRUE,TRUE,FALSE
11,ATC_group,TRUE,TRUE,FALSE
12,ATC_route,TRUE,TRUE,FALSE
13,dose,TRUE,FALSE,FALSE
14,unit,TRUE,FALSE,FALSE
15,route,TRUE,FALSE,FALSE
16,frequency,TRUE,TRUE,FALSE
17,authoring_date,TRUE,TRUE,FALSE
18,prescription_start,TRUE,TRUE,FALSE
19,prescription_end,TRUE,FALSE,FALSE
20,prescription_context,TRUE,TRUE,FALSE
21,prescription_status,TRUE,TRUE,FALSE
22,daily_frequency,TRUE,TRUE,FALSE
23,DDD,FALSE,FALSE,FALSE
