position,variable_name,must_exist,must_be_nonmissing
1,patient_id,TRUE,TRUE
2,prescription_id,TRUE,TRUE
3,combination_id,FALSE,FALSE
4,therapy_id,FALSE,FALSE
5,therapy_rank,FALSE,FALSE
6,prescription_text,TRUE,FALSE
7,drug_id,TRUE,TRUE
8,drug_name,TRUE,TRUE
9,drug_display_name,TRUE,FALSE
10,ATC_code,TRUE,TRUE
11,ATC_group,TRUE,TRUE
12,ATC_route,TRUE,TRUE
13,dose,TRUE,FALSE
14,unit,TRUE,FALSE
15,route,TRUE,FALSE
16,frequency,TRUE,TRUE
17,authoring_date,TRUE,TRUE
18,prescription_start,TRUE,TRUE
19,prescription_end,TRUE,FALSE
20,prescription_context,TRUE,TRUE
21,prescription_status,TRUE,TRUE
22,daily_frequency,TRUE,TRUE
23,DDD,FALSE,FALSE
