position,variable_name,must_exist,must_be_nonmissing,must_be_unique
1,patient_id,TRUE,TRUE,FALSE
2,spell_id,TRUE,TRUE,FALSE
3,admission_method,TRUE,TRUE,FALSE
4,admission_date,TRUE,TRUE,FALSE
5,discharge_date,TRUE,TRUE,FALSE
6,episode_number,TRUE,TRUE,FALSE
7,last_episode_in_spell,TRUE,TRUE,FALSE
8,episode_start,TRUE,TRUE,FALSE
9,episode_end,TRUE,TRUE,FALSE
10,date_of_birth,FALSE,FALSE,FALSE
11,date_of_death,FALSE,FALSE,FALSE
12,patient_sex,FALSE,TRUE,FALSE
13,age_on_admission,FALSE,FALSE,FALSE
14,ethnic_category,FALSE,FALSE,FALSE
15,administrative_category,FALSE,FALSE,FALSE
16,source_of_admission_code,FALSE,FALSE,FALSE
18,discharge_destination_code,FALSE,FALSE,FALSE
19,discharge_method_code,FALSE,FALSE,FALSE
20,consultant_code,TRUE,TRUE,FALSE
21,main_specialty_code,TRUE,TRUE,FALSE
22,treatment_function_code,FALSE,FALSE,FALSE
23,local_sub-specialty_code,FALSE,FALSE,FALSE
26,patient_forename,FALSE,FALSE,FALSE
27,patient_surname,FALSE,FALSE,FALSE
